Title	Author	Published At	Source	URL	Annotation 1	Annotation 2	Annotation 3
‘Presence’ Trailer: Steven Soderbergh’s First-Person Haunted House Movie Hails from Neon	Ryan Lattanzio	2024-10-31T16:00:00Z	IndieWire	https://www.indiewire.com/news/trailers/presence-trailer-steven-soderbergh-haunted-house-movie-neon-1235061681/			
How ReelShort CEO Joey Jia Used a Chinese Trend to Disrupt the U.S. Entertainment Industry	Chad de Guzman	2024-11-10T12:00:00Z	Time	https://time.com/7173765/reelshort-crazy-maple-studio-joey-jia-interview/			
The dream of an Indian MCU barely involves superheroes	Siddhant Adlakha	2024-11-01T22:04:19Z	Polygon	https://www.polygon.com/movies/470469/the-dream-of-an-indian-mcu-barely-involves-superheroes			
Disney CFO says Epic Universe's opening could boost attendance at Disney's Florida theme parks	ledmonds@businessinsider.com (Lauren Edmonds)	2024-11-15T00:19:58Z	Business Insider	https://www.businessinsider.com/epic-universes-opening-could-benefit-walt-disney-world-cfo-2024-11			
Magic Story launches AI-based media platform for children to create their own adventures	Dean Takahashi	2024-11-12T14:00:00Z	VentureBeat	https://venturebeat.com/games/magic-story-launches-ai-based-media-platform-for-children-to-create-their-own-adventures/			
PALY Traces Hollywood Cult History in Halloween Capsule	info@hypebeast.com (Hypebeast)	2024-11-01T22:01:58Z	HYPEBEAST	https://hypebeast.com/2024/11/paly-halloween-capsule-release-info			
John Krasinski and Emily Blunt have been married for 14 years. Here's a timeline of their relationship.	Nicole Pomarico	2024-11-15T14:36:30Z	Business Insider	https://www.businessinsider.com/emily-blunt-john-krasinski-relationship-timeline-history			
‘Filming Outside Hollywood’ Panel Asks a Big Question: Will the Future of Filmmaking Need a Passport?	Christian Blauvelt	2024-10-21T15:30:00Z	IndieWire	https://www.indiewire.com/news/events/filming-outside-hollywood-panel-future-of-filmmaking-summit-1235058111/			
Sydney Sweeney Says Hollywood Feminism Is ‘Fake’: People Still Talk ‘Sh*t’ About Actresses ‘Behind Everyone’s Back’	Samantha Bergeson	2024-11-13T19:00:00Z	IndieWire	https://www.indiewire.com/news/general-news/sydney-sweeney-hollywood-feminism-fake-1235065252/			
The Best Movie Of 2024 Teaches Hollywood A Lesson It's Been Ignoring For Years	staff@slashfilm.com (BJ Colangelo)	2024-11-15T19:00:00Z	/FILM	https://www.slashfilm.com/1684647/best-movie-2024-teaches-hollywood-lesson-sean-baker-anora-representation/			
A New John Wick Anime Movie Will Answer A 10-Year Old Mystery	staff@slashfilm.com (Rafael Motamayor)	2024-10-23T15:03:56Z	/FILM	https://www.slashfilm.com/1695389/john-wick-anime-movie-impossible-task/			
Hallmark Holiday Stars Won’t Be Ignored by Hollywood Anymore: ‘I Treat Each Production Like a Martin Scorsese Film’	Samantha Bergeson	2024-10-31T20:30:00Z	IndieWire	https://www.indiewire.com/features/interviews/hallmark-nikki-deloach-kristoffer-polaha-know-their-hollywood-worth-1235058236/			
Film Crews Trek to Diverse Locations in the Middle East and North Africa	Leo Barraclough	2024-11-16T18:05:00Z	Variety	https://variety.com/2024/film/features/locations-middle-east-north-africa-1236211416/			
Festival Director Criticized for Saying More Female Cinematographers Could Lead to ‘Mediocre’ Films	Pesala Bandara	2024-11-13T15:17:55Z	PetaPixel	https://petapixel.com/2024/11/13/camerimage-film-festival-director-marek-zydowiz-criticized-for-saying-more-female-cinematographers-could-lead-to-mediocre-films/			
The 5 Movie Ratings Explained: G, PG, PG-13, R & NC-17 Meanings	staff@slashfilm.com (Witney Seibold)	2024-10-26T20:45:23Z	/FILM	https://www.slashfilm.com/1693847/movie-ratings-explained-meaning/			
‘Pitch Your Project: Why Producers Now Expect More’ Panel Will Give Tips on How to Get Your Film Off the Ground	Christian Blauvelt	2024-10-24T18:45:00Z	IndieWire	https://www.indiewire.com/news/events/pitch-your-project-panel-future-of-filmmaking-summit-1235059353/			
‘He took the substance’: Why Demi Moore’s Comeback Horror Flick Feels Uniquely Primed for the Internet	BenWeiss, BenWeiss	2024-10-25T18:00:00Z	Cheezburger.com	https://cheezburger.com/30227207/he-took-the-substance-why-demi-moores-comeback-horror-flick-feels-uniquely-primed-for-the-internet			
Will Newsom's expanded tax credit program save California's film industry?	latimes.com	2024-10-28T22:07:28Z	Biztoc.com	https://biztoc.com/x/7e32050347c45250			
Louisiana Film Allies Scramble to Save Tax Credit: ‘There’s a Lot of Panic’	Gmaddaus	2024-11-14T00:30:59Z	Variety	https://variety.com/2024/film/news/louisiana-film-industry-allies-salvage-tax-credit-senate-house-1236209606/			
‘The Future of Film Is Interactive’ Panel Will Showcase KINO’s Bold New Way of Connecting Filmmakers to Audiences	Christian Blauvelt	2024-10-22T15:30:00Z	IndieWire	https://www.indiewire.com/news/events/future-of-film-is-interactive-panel-kino-1235058375/			
Anora and the changing depiction of sex work in Hollywood		2024-10-26T14:00:00Z	CBC News	https://www.cbc.ca/news/entertainment/anora-sex-workers-1.7363791			
Francis Ford Coppola to Receive 2025 AFI Life Achievement Award	Christian Zilko	2024-10-29T20:00:00Z	IndieWire	https://www.indiewire.com/news/general-news/francis-ford-coppola-afi-life-achievement-award-2025-1235060991/			
Adam Schiff Urges Federal Incentive to Keep Film and TV Production in U.S.	Gmaddaus	2024-10-31T16:45:33Z	Variety	https://variety.com/2024/biz/news/adam-schiff-federal-incentive-runaway-production-matt-loeb-iatse-1236196456/			
Jodie Comer's 10 Best Movies & TV Shows, Ranked	staff@slashfilm.com (Samuel Stone)	2024-11-02T12:15:24Z	/FILM	https://www.slashfilm.com/1701444/jodie-comer-best-movies-tv-shows-ranked/			
Demi Moore Is a Bit Jealous of Elisabeth Sparkle’s Hollywood Walk of Fame Star in ‘The Substance’: ‘I Think Often About It’	Harrison Richlin	2024-11-16T22:30:00Z	IndieWire	https://www.indiewire.com/news/general-news/demi-moore-walk-of-fame-star-1235066526/			
GLADIATOR II: Perfect film for declining empire...	Aris Roussinos	2024-11-16T23:25:36Z	Unherd.com	http://unherd.com/newsroom/gladiator-ii-the-perfect-film-for-americas-declining-empire/			
‘Anora’ Director Sean Baker Finds It “Frustrating” That Filmmakers Are “Abandoning Celluloid”	Glenn Garner	2024-11-02T16:23:55Z	Deadline	http://deadline.com/2024/11/anora-director-sean-baker-frustrating-filmmakers-abandoning-celluloid-1236165376/			
California Introduces Proposal to More Than Double Tax Credit Incentives to $750 Million for Film and TV Production	Christian Zilko	2024-10-27T21:27:44Z	IndieWire	https://www.indiewire.com/news/breaking-news/california-to-double-film-tax-credits-gavin-newsom-proposal-1235060487/			
IndieWire’s Future of Filmmaking Summit Celebrated Those Who Adapt Without Compromising What Matters	Christian Zilko	2024-11-04T16:35:14Z	IndieWire	https://www.indiewire.com/news/events/indiewire-future-of-filmmaking-summit-wrap-up-1235062361/			
Ridley Scott Had A Hilarious Question For One Pivotal Gladiator II Artist	staff@slashfilm.com (Witney Seibold)	2024-11-05T16:00:15Z	/FILM	https://www.slashfilm.com/1702800/ridley-scott-hilarious-question-gladiator-2-artist/			
Film Economics 101	"Schuyler Moore, Contributor, 
 Schuyler Moore, Contributor
 https://www.forbes.com/sites/schuylermoore/"	2024-11-08T04:53:02Z	Forbes	https://www.forbes.com/sites/schuylermoore/2024/11/07/film-economics-101/			
How Marvel’s Latest Ant-Man Movie Lost Millions In Theaters But Still Made A Profit	"Caroline Reid, Senior Contributor, 
 Caroline Reid, Senior Contributor
 https://www.forbes.com/sites/carolinereid/"	2024-10-27T14:47:36Z	Forbes	https://www.forbes.com/sites/carolinereid/2024/10/27/how-marvels-latest-ant-man-movie-lost-millions-in-theaters-but-still-made-a-profit/			
Hungary’s Production Incentive Extended For Six More Years	Zac Ntim	2024-10-29T09:50:15Z	Deadline	http://deadline.com/2024/10/hungary-production-incentive-extended-30-six-years-the-brutalist-1236160804/			
Sydney Sweeney Calls Out Hollywood Industry’s “Women Empowering Other Women” Stance: “All Of It Is Fake”	Armando Tinoco	2024-11-14T00:37:40Z	Deadline	http://deadline.com/2024/11/sydney-sweeney-calls-out-hollywood-industry-women-empowering-other-women-stance-fake-1236175695/			
The Killer Instinct of Sandy King Carpenter: In Conversation with the Horror Icon	Alison Foreman	2024-10-31T21:00:00Z	IndieWire	https://www.indiewire.com/features/interviews/sandy-king-carpenter-interview-1235061636/			
Judd Apatow Says New Hollywood Model Is “If It Bleeds, It Leads,” Little Room Left For “Subtler, Human” Stories	Natalie Oganesyan	2024-11-03T00:10:38Z	Deadline	http://deadline.com/2024/11/judd-apatow-new-hollywood-model-streamers-intense-1236165496/			
The 7 Best Martin Scorsese Movies Of All Time, Ranked	Richard Chachowski	2024-11-09T14:00:46Z	Thoughtcatalog.com	https://thoughtcatalog.com/richard-chachowski/2024/11/the-7-best-martin-scorsese-movies-of-all-time-ranked/			
Sydney Sweeney: Hollywood Says It’s About ‘Women Empowering Other Women’ but ‘All of It Is Fake’ and ‘None of It’s Happening’	Zack Sharf	2024-11-13T22:13:58Z	Variety	https://variety.com/2024/film/news/syndey-sweeney-slams-women-attacks-hollywood-disheartening-1236208877/			
Piracy Warning For Russian Cinemas as Legal Streaming Revenues Skyrocket	Andy Maxwell	2024-10-25T08:12:59Z	Torrentfreak.com	https://torrentfreak.com/piracy-warning-for-russian-cinemas-as-legal-streaming-revenues-skyrocket-241025/			
Deadline’s Contenders Film: Los Angeles Kicks Off Today With 21 Movies In The Awards-Season Race	Patrick Hipes	2024-11-16T16:00:00Z	Deadline	http://deadline.com/2024/11/2024-contenders-film-los-angeles-movies-schedule-livestream-1236172812/			
The Infinity Festival Takes The Very Long View On Hollywood’s Future	"David Bloom, Senior Contributor, 
 David Bloom, Senior Contributor
 https://www.forbes.com/sites/dbloom/"	2024-11-07T02:11:32Z	Forbes	https://www.forbes.com/sites/dbloom/2024/11/06/the-infinity-festival-takes-the-very-long-view-on-hollywoods-future/			
Watch a ‘Call to Action’ for New California Tax Credits at IndieWire’s Future of Filmmaking Summit	Brian Welk	2024-11-09T00:52:35Z	IndieWire	https://www.indiewire.com/news/events/future-of-filmmaking-summit-tax-credits-1235063213/			
IndieWire Earns Record 14 National Arts and Entertainment Journalism Awards Nominations	Christian Blauvelt	2024-10-30T16:30:00Z	IndieWire	https://www.indiewire.com/news/breaking-news/indiewire-record-14-national-arts-entertainment-journalism-awards-nominations-1235061192/			
George Lucas' Biggest Career Regret Involves A 1986 Marvel Movie Flop	staff@slashfilm.com (Bill Bria)	2024-11-03T01:00:00Z	/FILM	https://www.slashfilm.com/1699718/george-lucas-biggest-career-regret-marvel-movie-flop-howard-the-duck/			
Colman Domingo Helming ‘Scandalous’ At Miramax; Sydney Sweeney Plays Kim Novak, David Jonsson Is Sammy Davis Jr.	Mike Fleming	2024-10-22T17:37:04Z	Deadline	http://deadline.com/2024/10/colman-domingo-directs-scandalous-sydney-sweeney-kin-novak-david-jonsson-sammy-david-jr-miramax-1236144611/			
