Title	Author	Published At	Source	URL	Aamir Annotation	Jonathan Annotation	James Annotation
Speak No Evil 2024 720p BluRay x264-PiGNUS	saamaan1@yahoo.com (Master), Master	2024-11-20T22:08:17Z	Rlsbb.cc	https://post.rlsbb.cc/speak-no-evil-2024-720p-bluray-x264-pignus/			
Rick Catizone interviewed: from Night of the Living Dead to Evil Dead 2 to Shudder's Creepshow, reflecting on 50 years in animation	Ian Dean	2024-10-31T13:00:00Z	Creative Bloq	https://www.creativebloq.com/art/2d-animation/rick-catizone-interviewed-from-night-of-the-living-dead-to-evil-dead-2-to-shudders-creepshow-reflecting-on-50-years-in-animation			
‘Loki’s Eric Martin Teaming With Victoria Warmerdam On Feature Adaptation Of Her Oscar-Qualified Short ‘I’m Not A Robot’	matthewgrobar	2024-10-28T17:46:39Z	Deadline	http://deadline.com/2024/10/victoria-warmerdam-eric-martin-teaming-im-not-a-robot-feature-1236160049/			
‘The Substance’ Does Equal to ‘Joker: Folie à Deux’ on PVOD, but ‘Beetlejuice Beetlejuice’ Is Bigger	Tom Brueggemann	2024-11-04T22:30:00Z	IndieWire	https://www.indiewire.com/news/box-office/the-substance-joker-folie-a-deux-pvod-1235062753/			
Here Are The 20 Best Scored Horror Movies Of 2024	"Paul Tassi, Senior Contributor, 
 Paul Tassi, Senior Contributor
 https://www.forbes.com/sites/paultassi/"	2024-10-27T17:40:28Z	Forbes	https://www.forbes.com/sites/paultassi/2024/10/27/here-are-the-20-best-scored-horror-movies-of-2024/			
Piracy Shield Crisis Erupts as AGCOM Board Member Slams Huge Toll on Resources	Andy Maxwell	2024-11-04T12:53:02Z	Torrentfreak.com	https://torrentfreak.com/piracy-shield-crisis-agcom-board-member-slams-huge-toll-on-resources-241103/			
Restore Our Joy in You: A Prayer for Revival	Marshall Segal	2024-11-13T11:00:00Z	Desiringgod.org	https://www.desiringgod.org/messages/restore-our-joy-in-you			
‘Dragon Age: The Veilguard’ Review: A Well-Aged Dragon	"Paul Tassi, Senior Contributor, 
 Paul Tassi, Senior Contributor
 https://www.forbes.com/sites/paultassi/"	2024-10-28T14:59:56Z	Forbes	https://www.forbes.com/sites/paultassi/2024/10/28/dragon-age-the-veilguard-review-a-well-aged-dragon/			
Who Is AGATHA ALL ALONG’s Rio Vidal? The True Identity of Aubrey Plaza’s Character, Revealed	Michael Walsh	2024-10-24T14:50:23Z	Nerdist	https://nerdist.com/article/agatha-all-along-reveals-true-identity-of-aubrey-plaza-rio-vidal-as-mcu-death/			
What Buddhism can teach in this moment of deep divisions: No person is ‘evil,’ only ‘mistaken’	Jeremy David Engels, Professor of Communication, Penn State	2024-11-06T12:42:04Z	The Conversation Africa	https://theconversation.com/what-buddhism-can-teach-in-this-moment-of-deep-divisions-no-person-is-evil-only-mistaken-242575			
What’s With Anime’s Weird Preoccupation With Hands?	Sarah	2024-11-14T16:00:00Z	Reactormag.com	https://reactormag.com/whats-with-animes-weird-preoccupation-with-hands/			
Slitterhead Review - Surface Tension	Phil Hornshaw	2024-11-06T01:40:00Z	GameSpot	https://www.gamespot.com/reviews/slitterhead-review-surface-tension/1900-6418313/			
‘Emilia Pérez’ & ‘Blitz’ Top Hollywood Music in Media Awards Nominations	Erik Pedersen	2024-11-07T16:44:29Z	Deadline	http://deadline.com/2024/11/hollywood-music-in-media-awards-2024-nominations-list-1236169980/			
NOSFERATU Gets Series Of Chilling Character Posters - But Bill Skarsgård's Vampire Is Still Under Wraps	MarkCassidy	2024-11-01T22:51:42Z	CBM (Comic Book Movie)	https://comicbookmovie.com/horror/nosferatu-gets-series-of-chilling-character-posters---but-bill-skarsgrds-vampire-is-still-under-wraps-a214252			
ARMOR Interview: Dash Mihok On Working With Sylvester Stallone And A Possible RAY DONOVAN Revival (Exclusive)	JoshWilding	2024-11-18T16:08:00Z	CBM (Comic Book Movie)	https://comicbookmovie.com/action/armor-interview-dash-mihok-on-working-with-sylvester-stallone-and-a-possible-ray-donovan-revival-exclusive-a214590			
"Hands-on: Xbox's ""Indiana Jones and the Great Circle"" isn't just shaping up to be a fantastic game, it might represent the Disney franchise's future"	jez@windowscentral.com (Jez Corden)	2024-10-29T14:00:00Z	Windows Central	https://www.windowscentral.com/gaming/indiana-jones-great-circle-preview-oct-2024-xbox-pc-steam			
‘Gladiator II’ Review: Paul Mescal And Denzel Washington Power Ridley Scott’s Long Awaited Sequel To His Only Best Picture Oscar Winner	Pete Hammond	2024-11-11T14:00:00Z	Deadline	http://deadline.com/2024/11/gladiator-ii-review-paul-mescal-denzel-washington-ridley-scotts-long-awaited-sequel-best-picture-oscar-winner-1236172181/			
Terrifier 3 Box Office Surpasses Blumhouse Film To Climb 2024's Highest-Grossing Horror Movie Chart	Matthew Biggin	2024-10-23T17:55:26Z	Screen Rant	https://screenrant.com/terrifier-3-box-office-37-million-fourth-highest-grossing-horror-movie-2024/			
New Horror Movies Streaming This Week for Halloween 2024	Cameron Bonomolo	2024-10-28T23:45:26Z	ComicBook.com	http://comicbook.com/horror/news/new-horror-movies-streaming-free-halloween-2024/			
A Cause We All Can Support		2024-11-03T04:00:00Z	Americanthinker.com	https://www.americanthinker.com/articles/2024/11/a_cause_we_all_can_support.html			
‘Yana-Wara’ Director on Violence, Nature and Spirits Both Good and Evil	Missy Schwartz	2024-11-21T02:14:12Z	TheWrap	https://www.thewrap.com/yana-wara-peru-tito-catacora-wrap-screening-series/			
Bend the Ear of God: Three Wonders of Christian Prayer	David Mathis	2024-11-20T11:00:00Z	Desiringgod.org	https://www.desiringgod.org/messages/bend-the-ear-of-god			
Speak No Evil 2024 1080p BluRay REMUX AVC-TRiToN	Master	2024-11-18T08:53:00Z	Rlsbb.ru	https://post.rlsbb.ru/speak-no-evil-2024-1080p-bluray-remux-avc-triton/			
In Defense of FIRE	Elizabeth Redden	2024-11-21T08:00:00Z	Inside Higher Ed	https://www.insidehighered.com/opinion/views/2024/11/21/defense-fire-opinion			
Speak No Evil 2024 1080p BluRay x264-PiGNUS	Master	2024-11-20T22:08:58Z	Rlsbb.ru	https://post.rlsbb.ru/speak-no-evil-2024-1080p-bluray-x264-pignus/			
Speak No Evil 2024 720p BluRay x264-PiGNUS	Master	2024-11-20T22:08:17Z	Rlsbb.ru	https://post.rlsbb.ru/speak-no-evil-2024-720p-bluray-x264-pignus/			
DARK PHOENIX Star Sophie Turner Among Those Testing For Lara Croft Role In TOMB RAIDER Live-Action TV Series	JoshWilding	2024-10-30T12:13:32Z	CBM (Comic Book Movie)	https://comicbookmovie.com/video-games/tomb-raider/dark-phoenix-star-sophie-turner-among-those-testing-for-lara-croft-role-in-tomb-raider-live-action-tv-series-a214211			
X-MEN: DARK PHOENIX Star Sophie Turner Looks Set To Play TOMB RAIDER's Lara Croft In Amazon TV Series	JoshWilding	2024-11-14T21:32:00Z	CBM (Comic Book Movie)	https://comicbookmovie.com/video-games/tomb-raider/x-men-dark-phoenix-star-sophie-turner-looks-set-to-play-tomb-raiders-lara-croft-in-amazon-tv-series-a214455			
Torn Apart	Patricia J. Williams	2024-11-14T13:00:00Z	The New York Review of Books	https://www.nybooks.com/articles/2024/12/05/torn-apart-separated-errol-morris/			
Steve McQueen looks at WWII through child’s eyes in ‘Blitz’	Stephen Schaefer	2024-11-04T06:06:51Z	Boston Herald	https://www.bostonherald.com/2024/11/04/steve-mcqueen-looks-at-wwii-through-childs-eyes-in-blitz/			
Expand Your Gospel Vocabulary	Sam Chan	2024-11-01T04:02:00Z	Thegospelcoalition.org	https://www.thegospelcoalition.org/article/expand-gospel-vocabulary/			
Silence As Salvation: The Quiet Femmes of Modern Horror	Alisha Mughal	2024-10-25T13:22:13Z	Rogerebert.com	https://www.rogerebert.com/features/silence-as-salvation-the-quiet-femmes-of-modern-horror			
Alice Munro’s Retreat	Anne Enright	2024-11-14T13:00:00Z	The New York Review of Books	https://www.nybooks.com/articles/2024/12/05/alice-munros-retreat-anne-enright/			
‘Grotesquerie’ Star Niecy Nash-Betts Unpacks Finale, Shares Hopes For Season 2 & Explains Why Lois Is “One And The Same” With VP Kamala Harris	Katie Campione	2024-10-31T03:18:00Z	Deadline	http://deadline.com/2024/10/grotesquerie-finale-recap-niecy-nash-betts-interview-season-2-hopes-1236162592/			
Terrible, Horrible, No-Good, Very Bad Ideas: Stephen King’s Pet Sematary (Part 13)	R.Emrys	2024-11-13T18:00:00Z	Reactormag.com	https://reactormag.com/terrible-horrible-no-good-very-bad-ideas-stephen-kings-pet-sematary-part-13/			
Why, O Lord, Didst Kamala Harris Persecute Thy Righteous Fanboys Who Heckled Her?	Doktor Zoom	2024-10-23T13:12:29Z	Wonkette.com	https://www.wonkette.com/p/why-o-lord-didst-kamala-harris-persecute			
Jill Duggar Opens Up About Abusive Childhood: I Thought CPS Was Going to Take Us Away …	Tyler Johnson	2024-10-30T16:25:22Z	The Hollywood Gossip	http://www.thehollywoodgossip.com/2024/10/jill-duggar-opens-up-about-abusive-childhood-i-thought-cps-was-going-to-take-us-away-from-our-parents/			
10 Great Horror Films from 2024 (and Where to Watch Them)	Brian Tallerico	2024-10-30T13:43:49Z	Rogerebert.com	https://www.rogerebert.com/streaming/10-great-horror-films-from-2024-and-where-to-watch-them			
=The Evil Warmongering Zionist Won (No Not That One, The Other One)	No Author	2024-11-07T04:01:00Z	Lewrockwell.com	https://www.lewrockwell.com/2024/11/no_author/the-evil-warmongering-zionist-won-no-not-that-one-the-other-one/			
10 Best Written Isekai Heroes Whose Character Arcs Keep Fans Coming Back	Branson Knowles	2024-11-07T23:01:14Z	Screen Rant	https://screenrant.com/best-written-isekai-anime-heroes-ever-ranked/			
Smile‘s Director Already Has Ideas For Where Smile 3 Could Go	Gordon Jackson	2024-10-31T13:00:00Z	Gizmodo.com	https://gizmodo.com/smile-3-sequel-ideas-parker-finn-2000518568			
'Smile 2' has a brutal ending that blows the horror franchise's potential future wide open	Caralynn Matassa	2024-10-23T22:07:32Z	Business Insider	https://www.businessinsider.com/smile-2-ending-explained-2024-10			
Count Down to Halloween With These 10 Scary Hulu and Disney+ Movies	Cheryl Eddy	2024-10-28T22:44:26Z	Gizmodo.com	https://gizmodo.com/halloween-best-streaming-horror-hulu-disney-plus-2000517558			
Watch the Intense Opening of Smile 2 Online—If You Can Grin the Whole Time	Cheryl Eddy	2024-11-04T21:50:52Z	Gizmodo.com	https://gizmodo.com/smile-2-opening-smile-checker-paramount-2000520360			
Paramount Teases the First 7 Minutes of 'Smile 2'	info@hypebeast.com (Hypebeast)	2024-11-06T03:04:06Z	HYPEBEAST	https://hypebeast.com/2024/11/paramount-pictures-teases-first-7-minutes-of-smile-2-info			
Smile 2 Director Wanted Audiences To Feel Complicit In That Shocking Ending [Exclusive]	staff@slashfilm.com (Ben Pearson)	2024-11-19T22:00:22Z	/FILM	https://www.slashfilm.com/1717472/smile-2-director-wanted-audiences-feel-complicit-shocking-ending-exclusive/			
How To Watch Horror Sequel Smile 2 At Home	staff@slashfilm.com (Jeremy Mathai)	2024-11-18T15:45:20Z	/FILM	https://www.slashfilm.com/1715930/how-watch-horror-sequel-smile-2-at-home/			
You Can Watch the First Seven Minutes of Horror Film Providing You Smile Into Your Webcam	Pesala Bandara	2024-11-05T12:50:30Z	PetaPixel	https://petapixel.com/2024/11/05/you-can-now-watch-the-first-seven-minutes-of-smile-2-but-you-have-to-smile-the-entire-time-webcam-smile-2/			
You Can Watch the First 7 Minutes of ‘Smile 2’ Online — but Only if You Smile Into Your Webcam the Whole Time	Brian Welk	2024-11-04T23:10:09Z	IndieWire	https://www.indiewire.com/news/general-news/watch-first-7-minutes-smile-2-online-free-smile-whole-time-1235062886/			
The Smile, Idles, Laura Marling, and More Releasing Rough Trade Exclusive Vinyl Records	Matthew Strauss	2024-11-19T15:10:43Z	Pitchfork	https://pitchfork.com/news/the-smile-idles-laura-marling-releasing-rough-trade-exclusive-vinyl-records/			
Venom 3 set to win weekend box office, but there’s a battle for second spot	Trevor Mogg	2024-11-01T05:50:29Z	Digital Trends	https://www.digitaltrends.com/movies/venom-3-to-win-weekend-box-office-but-what-will-place-second/			
How to Stream 'Terrifier' and 'Terrifier 2' for Free This Halloween	Meara Isenberg	2024-10-31T17:47:53Z	CNET	https://www.cnet.com/tech/services-and-software/how-to-stream-terrifier-and-terrifier-2-for-free-this-halloween/			
Lady Gaga Cast In Wednesday Season 2	Abby Jones	2024-11-13T22:25:13Z	Stereogum	https://www.stereogum.com/2287481/lady-gaga-cast-in-wednesday-season-2/news/			
'Sweet Caroline,' Harry Kane and more best moments from Giants-Panthers in Germany	Jordan Raanan	2024-11-09T20:34:28Z	ESPN	https://www.espn.com/nfl/story/_/id/42288660/new-york-giants-carolina-panthers-germany-best-moments			
For Naomi Scott, Playing a Troubled Pop Star in ‘Smile 2’ Meant Alternating Between Joyful Dance Rehearsals and Bloody Hallucinations	Christian Zilko	2024-10-26T15:00:00Z	IndieWire	https://www.indiewire.com/features/interviews/naomi-scott-interview-smile-2-1235060424/			
Horror Hit ‘Smile 2’ Get Digital Streaming Premiere Date	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-11-02T21:43:43Z	Forbes	https://www.forbes.com/sites/timlammers/2024/11/02/horror-hit-smile-2-get-digital-streaming-premiere-date/			
To Unlock A Free ‘Smile 2’ Clip, Just Smile (For A Full Seven Minutes)	"Leslie Katz, Senior Contributor, 
 Leslie Katz, Senior Contributor
 https://www.forbes.com/sites/lesliekatz/"	2024-11-07T21:42:19Z	Forbes	https://www.forbes.com/sites/lesliekatz/2024/11/07/to-unlock-a-free-smile-2-clip-just-smile-for-a-full-seven-minutes/			
Smile 2 Is Now Available To Preorder on 4K UHD	Hannah Hoolihan	2024-10-23T14:01:40Z	IGN	https://www.ign.com/articles/preorder-smile-2-4k-uhd-steelbook			
Venom 3 Dances to a Decent Opening Weekend With Overseas Help	Justin Carter	2024-10-27T20:00:32Z	Gizmodo.com	https://gizmodo.com/venom-last-dance-box-office-2000517029			
Paramount Releases ‘Smile 2’ Clip For Free Online Viewing — But Only If You Smile Into Your Webcam For 7 Minutes Straight	Natalie Oganesyan	2024-11-05T01:42:43Z	Deadline	http://deadline.com/2024/11/paramount-smile-2-clip-online-free-smile-webcam-1236167313/			
‘Smile’ Producers Temple Hill Line Up Next Horror Movie In The Shape Of ‘Monitor’; Protagonist Launching For AFM	Andreas Wiseman	2024-11-01T11:00:00Z	Deadline	http://deadline.com/2024/11/smile-producers-temple-hill-next-horror-movie-in-the-shape-of-monitor-protagonist-launching-for-afm-1236163956/			
The Beloved $2 Butter Cookies I’m Bringing to Every Holiday Party I’m Invited To	Su-Jit Lin	2024-11-20T15:30:00Z	Thekitchn.com	https://www.thekitchn.com/jacobsens-danish-butter-cookies-review-23693723			
Freeman hits 1st walk-off slam in World Series history as Dodgers top Yankees in Game 1	The Associated Press	2024-10-26T11:46:13Z	NPR	https://www.npr.org/2024/10/26/nx-s1-5166038/world-series-game-1-dodgers-yankees			
‘Smile 2’ Star Naomi Scott On How Hit Film Transcends Horror Genre	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-11-11T18:33:15Z	Forbes	https://www.forbes.com/sites/timlammers/2024/11/11/smile-2-star-naomi-scott-on-how-hit-film-transcends-horror-genre/			
"Michael Candy creates robotic walking chairs that ""amble"" through space"	Ellen Eberhardt	2024-10-30T20:00:05Z	Dezeen	https://www.dezeen.com/2024/10/30/michael-candy-robotic-walking-chairs-amble-space/			
Heretic Aims To Make Hugh Grant A Horror Star At The Box Office	staff@slashfilm.com (Ryan Scott)	2024-11-01T19:00:56Z	/FILM	https://www.slashfilm.com/1702340/hugh-grant-horror-movie-heretic-box-office-prediction/			
"Lil Uzi Vert Reveals Retro-Inspired New Release: ""Uzi The Earthling! (TV Show Theme)"""	info@hypebeast.com (Hypebeast)	2024-10-23T17:43:52Z	HYPEBEAST	https://hypebeast.com/2024/10/lil-uzi-vert-the-earthling-tv-show-theme-single-stream			
Raúl Castillo Joins Maika Monroe & Mary Elizabeth Winstead In 20th’s ‘The Hand That Rocks The Cradle’	matthewgrobar	2024-11-18T20:20:04Z	Deadline	http://deadline.com/2024/11/the-hand-that-rocks-the-cradle-remake-adds-raul-castillo-1236180513/			
This London Home’s Rainbow Cupboards Are the Most Stunning Thing I’ve Ever Seen	Adrienne Breaux	2024-11-01T16:00:00Z	Apartment Therapy	https://www.apartmenttherapy.com/london-house-rainbow-renovation-37433270			
Best Horror Movie 4K Box Sets And Steelbook Deals At Amazon Ahead Of Halloween	Steven Petite	2024-10-24T17:07:00Z	GameSpot	https://www.gamespot.com/articles/horror-movie-tv-series-box-set-collection-amazon-halloween-deals/1100-6527353/			
‘Venom: The Last Dance’ Falls Short, but Look at ‘Conclave’ and ‘Anora’ Soar	Tom Brueggemann	2024-10-27T18:39:03Z	IndieWire	https://www.indiewire.com/news/box-office/box-office-venom-the-last-dance-fell-short-conclave-anora-soar-1235060472/			
November Might Debut Four $100 Million-Plus Movies, Led by ‘Wicked,’ ‘Gladiator 2,’ and ‘Moana 2’	Tom Brueggemann	2024-10-31T14:15:00Z	IndieWire	https://www.indiewire.com/news/box-office/wicked-gladiator-2-november-box-office-1235061054/			
Was Morris Real In Smile 2?	Cooper Hood	2024-10-25T19:10:14Z	Screen Rant	https://screenrant.com/smile-2-was-morris-real/			
Beyoncé, Chappell Roan, and Kendrick Lamar Nominated for Song of the Year at 2025 Grammys	Walden Green	2024-11-08T16:12:43Z	Pitchfork	https://pitchfork.com/news/beyonce-chappell-roan-and-kendrick-lamar-nominated-for-song-of-the-year-at-2025-grammys/			
Draymond Green Rips 'Goofy' Grant Williams for Flagrant Foul on Celtics' Jayson Tatum	Adam Wells	2024-11-02T16:08:59Z	Bleacher Report	https://bleacherreport.com/articles/10141916-draymond-green-rips-goofy-grant-williams-for-flagrant-foul-on-celtics-jayson-tatum			
Smile 3 Could Completely Flip Smile 2's Gemma Twist With Brilliant Skye Replacement Option	Cooper Hood	2024-11-10T14:30:14Z	Screen Rant	https://screenrant.com/smile-3-gemma-lead-skye-replacement-brilliant/			
Why Apple Health, not the iPhone, will be Apple’s biggest impact on our lives	Nirave Gondhia	2024-10-27T13:30:28Z	Digital Trends	https://www.digitaltrends.com/mobile/apple-health-not-the-iphone-will-be-apple-biggest-impact-on-our-lives/			
Bloodied FC Barcelona Star Cubarsi Shows Off War Wounds And Stitches After UCL Win (VIDEO)	"Tom Sanderson, Senior Contributor, 
 Tom Sanderson, Senior Contributor
 https://www.forbes.com/sites/tomsanderson/"	2024-11-06T22:56:22Z	Forbes	https://www.forbes.com/sites/tomsanderson/2024/11/06/bloodied-fc-barcelona-star-cubarsi-shows-off-war-wounds-and-stitches-after-ucl-win-video/			
One Of 2024’s Best Horror Movies Is Now Streaming On Amazon, Apple TV	"Paul Tassi, Senior Contributor, 
 Paul Tassi, Senior Contributor
 https://www.forbes.com/sites/paultassi/"	2024-11-20T14:55:38Z	Forbes	https://www.forbes.com/sites/paultassi/2024/11/20/one-of-2024s-best-horror-movies-is-now-streaming-on-amazon-apple-tv/			
Why Skye Pulls Out Her Hair In Smile 2	Megan Hemenway	2024-10-25T14:00:21Z	Screen Rant	https://screenrant.com/smile-2-skye-hair-pulls-out-reason/			
Lady Gaga Breaks Her Tie With Former Collaborator Beyoncé	"Hugh McIntyre, Senior Contributor, 
 Hugh McIntyre, Senior Contributor
 https://www.forbes.com/sites/hughmcintyre/"	2024-11-18T14:30:51Z	Forbes	https://www.forbes.com/sites/hughmcintyre/2024/11/18/lady-gaga-breaks-her-tie-with-former-collaborator-beyonc/			
10 Bad Movies Roger Ebert Actually Liked	Jake Rossen	2024-11-20T13:02:00Z	Mental Floss	https://www.mentalfloss.com/bad-movies-roger-ebert-liked			
From the gridiron to center stage: How Georgia's Jalon Walker was destined for greatness at an early age	Mark Schlabach	2024-11-01T12:34:15Z	ESPN	https://www.espn.com/college-football/story/_/id/42114282/2024-georgia-college-football-jalon-walker			
Terrifier 3 Just Passed A Massive Box Office Milestone No One Saw Coming	staff@slashfilm.com (Ryan Scott)	2024-10-28T18:00:00Z	/FILM	https://www.slashfilm.com/1699255/terrifier-3-box-office-milestone-50-million-worldwide/			
Smile 2's Voss Water Obsession Hides A Dark Reality For Skye	Adrienne Tyler	2024-10-30T22:30:12Z	Screen Rant	https://screenrant.com/smile-2-voss-water-hide-skye-not-in-control/			
Smile 2 Finally Gives Naomi Scott The Role She Deserved 5 Years After $1 Billion Breakout	Megan Hemenway	2024-10-29T09:00:22Z	Screen Rant	https://screenrant.com/smile-2-naomi-scott-role-deserve-after-aladdin/			
’Smile 2’ Will Share 7 Minutes Of Preview—If You Dare To Be Its Victim On Webcam	Enter Stage Rite	2024-11-06T16:25:28Z	Designtaxi.com	https://community.designtaxi.com/topic/6145-paramount-will-share-7-minutes-of-smile-2-with-you%E2%80%94but-only-if-you-dare-to-be-its-victim-on-webcam/			
‘Smile 2’ Is the Hardest Thing Naomi Scott Has Ever Done—but She’s Not Complaining	Vanity Fair	2024-10-25T11:00:00Z	Vanity Fair	https://www.vanityfair.com/hollywood/story/naomi-scott-smile-2-awards-insider			
‘Venom 3’ Leads Box Office Again, A24’s ‘Heretic’ Scares Up $11 Million Debut in Sleepy Weekend	Rebecca Rubin	2024-11-10T15:54:51Z	Variety	https://variety.com/2024/film/box-office/venom-3-box-office-winner-a24-heretic-opening-weekend-1236205857/			
How Naomi Scott Became 2024's Greatest Scream Queen in Smile 2	Evan Romano	2024-10-25T18:00:00Z	menshealth.com	https://www.menshealth.com/entertainment/a62705751/smile-2-interview-naomi-scott-skye-riley/			
SMILE 2 Director Parker Finn Talks About the Future of the Franchise After That Wild Ending	Joey Paur	2024-10-31T22:00:00Z	GeekTyrant	https://geektyrant.com/news/smile-2-director-parker-finn-talks-about-the-future-of-the-franchise-after-that-wild-ending			
‘Heretic’ And ‘Christmas Pageant’ Debut Strong At Weekend Box Office	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-11-09T18:19:47Z	Forbes	https://www.forbes.com/sites/timlammers/2024/11/09/heretic-and-christmas-pageant-debut-strong-at-weekend-box-office/			
"Bruce Hannah on Creating Playful Designs for a World That Needs ""More Rounded Edges"""	info@hypebeast.com (Hypebeast)	2024-11-20T17:02:04Z	HYPEBEAST	https://hypebeast.com/2024/11/knoll-morrison-hannah-chair-interview			
‘Venom: The Last Dance’ Tangos Past $317M Worldwide – International Box Office	Nancy Tartaglione	2024-11-03T17:09:41Z	Deadline	http://deadline.com/2024/11/venom-the-last-dance-second-weekend-singham-again-bhool-bhulaiyaa-the-wild-robot-global-international-box-office-1236165668/			
‘Heretic’ Stirs Up $1.2M In Previews, ‘Venom 3’ Crossing $100M Today – Box Office	anthonypauldalessandro	2024-11-08T17:26:43Z	Deadline	http://deadline.com/2024/11/box-office-heretic-best-christmas-pageant-ever-1236170937/			
‘Venom: The Last Dance,’ ‘The Wild Robot,’ and Specialized Hits Thrive	Tom Brueggemann	2024-11-03T20:00:00Z	IndieWire	https://www.indiewire.com/news/box-office/weekend-box-office-marvel-animation-specialized-1235062371/			
‘Venom: The Last Dance’ Misses Projection In Domestic Box Office Weekend	"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/"	2024-10-26T18:55:45Z	Forbes	https://www.forbes.com/sites/timlammers/2024/10/26/venom-the-last-dance-misses-projection-in-domestic-box-office-weekend/			
How Smile 2 Brought In A Horror Legend For That Early Cameo	Eric Eisenberg	2024-10-24T22:48:37Z	CinemaBlend	https://www.cinemablend.com/interviews/how-smile-2-brought-horror-legend-early-cameo-drew-barrymore			
How Netflix Put the Hurt on The Rock with $34 Million for Amazon MGM’s ‘Red One’	Tom Brueggemann	2024-11-17T19:02:39Z	IndieWire	https://www.indiewire.com/news/box-office/how-netflix-hurt-the-rock-amazon-mgm-red-one-1235066617/			
‘Smile 2’ Comes Home to Digital Outlets This Tuesday!	John Squires	2024-11-18T14:07:18Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3839781/smile-2-comes-home-to-digital-outlets-this-tuesday/			
Recommended Viewings: “The Substance” by Coralie Fargeat	Staff	2024-10-31T13:00:54Z	Booooooom.com	https://www.booooooom.com/2024/10/31/recommended-viewings-the-substance-by-coralie-fargeat/			
Coralie Fargeat Pulls ‘The Substance’ from Camerimage Film Festival	Harrison Richlin	2024-11-15T20:58:04Z	IndieWire	https://www.indiewire.com/news/breaking-news/coralie-fargeat-the-substance-camerimage-1235066360/			
‘He took the substance’: Why Demi Moore’s Comeback Horror Flick Feels Uniquely Primed for the Internet	BenWeiss, BenWeiss	2024-10-25T18:00:00Z	Cheezburger.com	https://cheezburger.com/30227207/he-took-the-substance-why-demi-moores-comeback-horror-flick-feels-uniquely-primed-for-the-internet			
Katy Perry Named This Grotesque Horror Flick The Best Movie Of 2024	staff@slashfilm.com (Jeremy Smith)	2024-11-11T23:43:20Z	/FILM	https://www.slashfilm.com/1710704/katy-perry-best-movie-2024-horror-the-substance/			
